#RIC,Alias Underlying RIC,Domain,Date-Time,GMT Offset,Type,Open,High,Low,Last,Volume,No. Trades,Open Bid,High Bid,Low Bid,Close Bid,Open Ask,High Ask,Low Ask,Close Ask,Low Ask Yld,Open Bid Size,High Bid Size,Low Bid Size,Close Bid Size,Open Ask Size,High Ask Size,Low Ask Size,Close Ask Size
SDIH25,,Market Price,2025-03-10T11:37:00.000000000Z,-5,Intraday 1Min,,,,,,,,,,,20.34,20.34,20.34,20.34,,,,,,60,60,60,60
SDIH25,,Market Price,2025-03-10T12:19:00.000000000Z,-5,Intraday 1Min,,,,,,,20.2,20.2,20.2,20.2,20.34,20.34,20.34,20.34,,50,50,50,50,60,60,60,60
SDIH25,,Market Price,2025-03-10T13:08:00.000000000Z,-5,Intraday 1Min,20.34,20.34,20.34,20.34,1,1,20.2,20.2,20.2,20.2,20.34,20.34,20.34,20.34,,50,50,50,50,59,59,59,59
SDIH25,,Market Price,2025-03-10T13:12:00.000000000Z,-5,Intraday 1Min,,,,,,,20.25,20.25,20.25,20.25,20.34,20.34,20.34,20.34,,50,50,50,50,59,59,59,59
SDIH25,,Market Price,2025-03-10T14:06:00.000000000Z,-5,Intraday 1Min,,,,,,,20.25,20.26,20.25,20.26,20.34,20.34,20.34,20.34,,50,50,10,10,109,109,109,109
SDIH25,,Market Price,2025-03-10T14:15:00.000000000Z,-5,Intraday 1Min,,,,,,,20.26,20.26,20.26,20.26,20.32,20.32,20.32,20.32,,10,10,10,10,10,10,10,10
SDIH25,,Market Price,2025-03-10T14:24:00.000000000Z,-5,Intraday 1Min,,,,,,,20.25,20.26,20.25,20.26,20.32,20.32,20.32,20.32,,50,50,50,50,10,60,10,60
SDIH25,,Market Price,2025-03-10T15:33:00.000000000Z,-5,Intraday 1Min,,,,,,,20.26,20.26,20.26,20.26,20.3,20.3,20.3,20.3,,50,50,50,50,10,10,10,10
SDIH25,,Market Price,2025-03-10T21:00:00.000000000Z,-5,Intraday 1Min,,,,,,,,,,,20.34,20.34,20.34,20.34,,,,,,9,9,9,9
SDIH25,,Market Price,2025-03-11T11:34:00.000000000Z,-5,Intraday 1Min,,,,,,,20.25,20.25,20.25,20.25,20.34,20.34,20.34,20.34,,50,50,50,50,59,59,59,59
SDIH25,,Market Price,2025-03-11T12:35:00.000000000Z,-5,Intraday 1Min,,,,,,,20.25,20.25,20.25,20.25,20.32,20.32,20.32,20.32,,50,50,50,50,10,10,10,10
SDIH25,,Market Price,2025-03-11T12:36:00.000000000Z,-5,Intraday 1Min,,,,,,,20.25,20.25,20.25,20.25,20.33,20.33,20.33,20.33,,50,50,50,50,10,10,10,10
SDIH25,,Market Price,2025-03-11T12:53:00.000000000Z,-5,Intraday 1Min,,,,,,,20.25,20.25,20.25,20.25,20.33,20.33,20.33,20.33,,100,100,100,100,10,10,10,10
SDIH25,,Market Price,2025-03-11T16:04:00.000000000Z,-5,Intraday 1Min,,,,,,,20.3,20.3,20.3,20.3,20.33,20.33,20.33,20.33,,10,10,10,10,10,10,10,10
SDIH25,,Market Price,2025-03-11T16:09:00.000000000Z,-5,Intraday 1Min,,,,,,,20.3,20.3,20.3,20.3,20.31,20.31,20.31,20.31,,10,10,10,10,10,10,10,10
SDIH25,,Market Price,2025-03-11T16:18:00.000000000Z,-5,Intraday 1Min,,,,,,,20.28,20.28,20.28,20.28,20.31,20.31,20.31,20.31,,10,10,10,10,10,10,10,10
SDIH25,,Market Price,2025-03-11T16:31:00.000000000Z,-5,Intraday 1Min,,,,,,,20.26,20.26,20.26,20.26,20.31,20.31,20.31,20.31,,10,10,10,10,10,10,10,10
SDIH25,,Market Price,2025-03-11T16:46:00.000000000Z,-5,Intraday 1Min,,,,,,,20.26,20.26,20.26,20.26,20.3,20.31,20.3,20.31,,10,10,10,10,10,10,10,10
SDIH25,,Market Price,2025-03-11T21:00:00.000000000Z,-5,Intraday 1Min,,,,,,,,,,,20.34,20.34,20.34,20.34,,,,,,9,9,9,9
SDIH25,,Market Price,2025-03-12T11:37:00.000000000Z,-5,Intraday 1Min,,,,,,,,,,,20.34,20.34,20.34,20.34,,,,,,59,109,59,109
SDIH25,,Market Price,2025-03-12T12:28:00.000000000Z,-5,Intraday 1Min,20.34,20.34,20.34,20.34,1,1,,,,,20.34,20.34,20.34,20.34,,,,,,108,108,108,108
SDIH25,,Market Price,2025-03-12T12:59:00.000000000Z,-5,Intraday 1Min,,,,,,,20.25,20.25,20.25,20.25,20.34,20.34,20.34,20.34,,50,50,50,50,108,108,108,108
SDIH25,,Market Price,2025-03-12T13:40:00.000000000Z,-5,Intraday 1Min,,,,,,,20.25,20.25,20.25,20.25,20.34,20.34,20.34,20.34,,50,50,50,50,133,133,133,133
SDIH25,,Market Price,2025-03-12T16:39:00.000000000Z,-5,Intraday 1Min,,,,,,,20.26,20.26,20.26,20.26,20.34,20.34,20.34,20.34,,18,18,18,18,133,133,133,133
SDIH25,,Market Price,2025-03-12T17:04:00.000000000Z,-5,Intraday 1Min,,,,,,,20.26,20.26,20.26,20.26,20.33,20.33,20.33,20.33,,18,18,18,18,100,100,100,100
SDIH25,,Market Price,2025-03-12T19:22:00.000000000Z,-5,Intraday 1Min,,,,,,,20.26,20.26,20.26,20.26,20.32,20.33,20.32,20.32,,18,18,18,18,18,100,1,1
SDIH25,,Market Price,2025-03-12T21:00:00.000000000Z,-5,Intraday 1Min,,,,,,,,,,,20.34,20.34,20.34,20.34,,,,,,8,8,8,8
SDIH25,,Market Price,2025-03-13T11:35:00.000000000Z,-5,Intraday 1Min,,,,,,,20.25,20.25,20.25,20.25,20.33,20.33,20.33,20.33,,100,100,100,100,100,100,100,100
SDIH25,,Market Price,2025-03-13T13:00:00.000000000Z,-5,Intraday 1Min,,,,,,,20.25,20.25,20.25,20.25,20.33,20.33,20.33,20.33,,150,150,150,150,100,100,100,100
SDIH25,,Market Price,2025-03-13T13:46:00.000000000Z,-5,Intraday 1Min,,,,,,,20.25,20.25,20.25,20.25,20.33,20.33,20.33,20.33,,150,150,150,150,125,125,125,125
SDIH25,,Market Price,2025-03-13T17:03:00.000000000Z,-5,Intraday 1Min,,,,,,,20.25,20.25,20.25,20.25,20.33,20.33,20.33,20.33,,100,100,100,100,125,125,125,125
SDIH25,,Market Price,2025-03-13T17:08:00.000000000Z,-5,Intraday 1Min,,,,,,,20.25,20.25,20.25,20.25,20.33,20.33,20.33,20.33,,150,150,150,150,125,125,125,125
SDIH25,,Market Price,2025-03-13T20:15:00.000000000Z,-5,Intraday 1Min,,,,,,,20.25,20.25,20.25,20.25,20.33,20.33,20.33,20.33,,100,100,100,100,125,125,100,100
SDIH25,,Market Price,2025-03-13T21:00:00.000000000Z,-5,Intraday 1Min,,,,,,,,,,,20.34,20.34,20.34,20.34,,,,,,8,8,8,8
SDIH25,,Market Price,2025-03-14T11:44:00.000000000Z,-5,Intraday 1Min,,,,,,,,,,,20.33,20.33,20.33,20.33,,,,,,100,100,100,100
SDIH25,,Market Price,2025-03-14T11:51:00.000000000Z,-5,Intraday 1Min,,,,,,,20.25,20.25,20.25,20.25,20.33,20.33,20.33,20.33,,100,100,100,100,100,100,100,100
SDIH25,,Market Price,2025-03-14T12:53:00.000000000Z,-5,Intraday 1Min,,,,,,,20.25,20.25,20.25,20.25,20.33,20.33,20.33,20.33,,150,150,150,150,100,100,100,100
SDIH25,,Market Price,2025-03-14T13:35:00.000000000Z,-5,Intraday 1Min,,,,,,,20.25,20.25,20.25,20.25,20.33,20.33,20.33,20.33,,150,150,150,150,125,125,125,125
SDIH25,,Market Price,2025-03-14T14:00:00.000000000Z,-5,Intraday 1Min,,,,,,,20.25,20.25,20.25,20.25,20.33,20.33,20.33,20.33,,150,150,150,150,100,100,100,100
SDIH25,,Market Price,2025-03-14T14:01:00.000000000Z,-5,Intraday 1Min,,,,,,,20.25,20.25,20.25,20.25,20.33,20.33,20.33,20.33,,150,150,150,150,125,125,125,125
SDIH25,,Market Price,2025-03-14T15:12:00.000000000Z,-5,Intraday 1Min,,,,,,,20.25,20.25,20.25,20.25,20.32,20.32,20.32,20.32,,150,150,150,150,100,100,100,100
SDIH25,,Market Price,2025-03-14T15:32:00.000000000Z,-5,Intraday 1Min,,,,,,,20.25,20.25,20.25,20.25,20.33,20.33,20.33,20.33,,150,150,150,150,125,125,125,125
SDIH25,,Market Price,2025-03-14T19:57:00.000000000Z,-5,Intraday 1Min,,,,,,,20.25,20.25,20.25,20.25,20.33,20.33,20.33,20.33,,100,100,100,100,125,125,125,125
SDIH25,,Market Price,2025-03-14T20:15:00.000000000Z,-5,Intraday 1Min,,,,,,,20.25,20.25,20.25,20.25,20.33,20.33,20.33,20.33,,100,100,100,100,100,100,100,100
SDIH25,,Market Price,2025-03-14T21:00:00.000000000Z,-5,Intraday 1Min,,,,,,,,,,,20.34,20.34,20.34,20.34,,,,,,8,8,8,8
